card_description_id,card_id,subject_id,card_subject_description
25,5,5,"Hãy dành thời gian cho bản thân để thoả mãn nhu cầu phát triển Tinh thần của mình. Đừng chỉ tập trung vào những khva cạnh như logic, nguyên do, trật tự, hãy để những thông tin khác được cân nhắc. Logic có thể dẫn bạn đến thế giới Tinh thần, nếu bạn cho phép. Việc suy tư và thiền định (vốn là điều rất cần kỉ luật) sẽ trở nên dễ dàng với bạn nếu bạn chịu dành thời gian và công sức."
26,6,1,"Kỷ luật và quy củ là thứ bạn đang cần. Nếu bạn gặp trở ngại về sức khoẻ, kỉ luật, nề nếp và cam kết thì có cách cho chuyện đó cả. Cách chữa trị “truyền thống” có khả năng cao sẽ thành công ở thời điểm này."
27,6,2,"Đây là lúc nên chơi theo luật và thực tế. Hãy dùng cách thông thường và truyền thống để quản lý tiền bạc. Tìm kiếm lời khuyên từ những người làm trong ngân hàng, các giám đốc tài chính hay bất cứ ai nhiều kinh nghiệm trong chuyện này hơn bạn. Đây là thời điểm để đầu từ, với điều kiện là nói phải ổn định và bền vững. Đây không phải lúc để thử vận may với các kiểu trái phiếu hay cổ phiếu “bất thường” này nọ."
28,6,3,"Chuyện tình cảm có vẻ đang tốt đẹp, dù có vẻ hơi thiếu “mới mẻ” một chút. Bạn nên cư xử theo cách mà bạn nghĩ là mọi người sẽ cư xử trong tình huống của bạn. Cảnh báo là bạn không nên làm gì đó lạ lẫm và khác thường."
29,6,4,"Người thầy, người hướng dẫn mà bạn đang tìm kiếm sẽ xuất hiện, hoặc bạn sẽ trở thành người thầy, người hướng dẫn cho ai đó. Đây là thời điểm để gia nhập vào một nhóm nào đó, dù bạn có cho rằng mình không phải kiểu người hợp với đội nhóm đi nữa, vì bạn sẽ nhận ra rằng bạn có rất nhiều thứ cần học từ họ (theo nghĩa rất tích cực nhé!). Công việc sẽ tiến triển tốt đẹp cho bạn khả năng tổ chức mọi thứ và là theo quy tắc."
30,6,5,"Bạn đang rất lưu tâm đến chuyện này (kể cả khi hiện tại bạn không có tín ngưỡng hay theo giáo phái nào). Im lặng và để được tâm hồn bạn được rộng mở. Vấn đề ở đây là lập ra quy tắc cho nó – mỗi ngày, mỗi tuần hay mỗi tháng; bất cứ khi nào bạn có thời gian. Bạn sẽ cảm nhận sự thay đổi về thế giới quan như kết quả của quá trình này."
31,7,1,"Nếu đang gặp vấn đề sức khoẻ, thì người có thể giúp bạn đang đến. Có thể là bác sỹ, y tá, nhà trị liệu tuỳ thuộc vào lựa chọn của bạn trong cuộc sống. Một lần nữa, hãy đối mặt với thách thức, nghĩ về sự am hiểu của bạn đối với tình hình hiện tại và biết ơn những gì bạn đang có, thực hiện các trị liệu/chữa lành nếu cần thiết."
32,7,2,"Chuyện tình cảm quá đẹp có thể khiến bạn mất kiểm soát với chuyện tài chính. Có những thứ có thể chờ, có những thứ thì không, vậy nên hãy đảm bảo là bạn lưu tâm đúng mức và đúng lúc với vấn đề này."
33,7,3,"Tình yêu (nhấn mạnh là tình yêu nhé) đang đến với bạn và chạy vào ngay trung tâm cuộc sống của bạn. Có thể là một mối quan hệ mới, hoặc một biến cố tạo nên sự liên kết mạnh mẽ với người hiện tại/người cũ. Dù là trường hợp nào thì bạn cũng sẽ rất hạnh phúc và thậm chí những người xung quanh có thể thấy được vầng hào quang hạnh phúc bao quanh bạn. Chuyện này hoàn toàn nghiêm túc. Rất có thể, dù là mối quan hệ mới chớm nở, hai bạn đã có thể nghĩ đến chuyện gặp gia đình đối phương và tính chuyện “trăm năm”. Một lần nữa, hãy chia sẻ niềm hạnh phúc của mình với những người đang cần. Cuộc sống của bạn sẽ ngập tràn hạnh phúc."
34,7,4,"Bạn đang cần đưa ra quyết định. Phân tích mọi thông tin đang nắm, rồi đưa ra quyết định tốt nhất. Có thể lúc đầu bạn sẽ thấy là sắp có chuyện chẳng lành xảy ra. Hãy cẩn thận khi để công việc và tình yêu lẫn lộn vào nhau; nên trước khi ra quyết định, hãy chắc chắn bạn đã rõ những yếu tố liên quan."
35,7,5,"Một lần nữa, làm việc với một người đặc biệt, như người hướng dẫn hay người lãnh tụ có thể giúp bạn nhiều thứ trong hành trình Tinh thần. Tuy nhiên, đừng tuân theo một cách mù quáng, hãy biết đặt ra nghi vấn mọi thứ, nghe theo trái tim và linh tính mách bảo, chỉ nghe những gì hữu ích và kệ phần còn lại. Một người cầm tay dẫn lối có thể sẽ đến. Hãy nhớ câu nói của người xưa: “Khi người học trò sẵn sàng, người thầy sẽ xuất hiện.”"
36,8,1,Nhìn chung sinh khí của bạn rất tốt và bạn sẵn sàng bật dậy để lao đi bất kì lúc nào. Thời điểm này là hoàn hảo để bắt đầu hoặc tăng cường kế hoạch rèn luyện thân thể. Bạn thực tế có khả năng làm tốt hơn bạn mong đợi rất nhiều đấy.
37,8,2,"Nhìn chung khi xét đến khía cạnh tài chính thì có vẻ mọi thứ vẫn ổn. Có thể bạn đang cân nhắc mua sắm phương tiện di chuyển – như mua xe, mua vé máy bay để đi đến nơi mà bạn muốn đi lâu rồi. Hãy ưu tiên trả các khoản nợ nếu có. Bạn có thể làm bây giờ, nếu bạn giữ vững lối sống kỷ luật."
38,8,3,"Trong tình yêu, có thể bạn đang bị xúi giục đi xa và đi nhanh và/hoặc ai đó đang thúc ép bạn làm như vậy. Dù sao thì, hãy trao đổi thẳng thắn nhất có thể về giới hạn và mong muốn của bạn, hãy trung thực với bản thân về các khả năng có thể xảy ra. Nếu có người ngỏ lời mà bạn không muốn thì cứ đơn giản nói cho họ biết bạn không hứng thú. Cảm giác khó chịu lúc đầu lại có thể có lợi cho cả hai sau này."
39,8,4,"Trong công việc, quan trọng là đừng để những thứ nhỏ nhặt choáng lấp tâm trí bạn. Sẽ có thể có người chống đối lại bạn (vô tình hay hữu ý). Đừng để những điều đó làm phiền bạn. Hãy làm những gì tốt nhất có thể , và đừng tốn thời gian chú tâm xem người khác nghĩ gì hay nhận xét gì về nỗ lực của bạn. Nếu bạn đúng (và rất có thể là vậy), rồi họ sẽ được thấy. Bạn có thể đang cảm thấy sự rạo rực trong lòng và sẵn sàng tiến tới."
40,8,5,"Bạn có thể sẽ đi đâu đó (gần cũng được) để giúp bản thân tăng thêm nhận thức về thế giới Tinh thần, và bạn đang ở trạng thái có thể học rất nhanh về chủ đề Tinh thần. Hãy tham dự các buổi hội thảo, nói về các vấn đề Tinh thần còn nhiều lạ lẫm với bản thân và nằm ngoài phạm vi học hỏi của bạn trước giờ. Bạn sẽ nhận lại nhiều hơn bạn có thể ngờ nếu bạn thử những điều mới mẻ này, đây có thể là thời gian bạn cần nghiền ngẫm nhiều."
41,9,1,Sức khoẻ và sinh khí của bạn đang rất tốt. Thời điểm này rất tốt để điều chỉnh những thói quen chưa tốt để bảo vệ sức khoẻ. Bắt đầu với những mục tiêu nhỏ như đi bộ 10 phút mỗi ngày có thể giúp bạn cải thiện rất nhiều. Bạn sẽ cảm thấy khỏe mạnh hơn và sung sức hơn hiện tại nữa đấy.
42,9,2,"Tiền bạc đang đi theo hướng tốt. Hãy chắc chắn là bạn không quên để dành một ít, dù lâu rồi bạn không làm vậy và cảm thấy cần dùng tiền để chăm lo cho bản thân và người bạn yêu thương. Bạn có thể đã sẵn sàng để mua những thứ lớn như nhà hay xe. Và tất nhiên là đừng mượn nhiều hơn số tiến mà khả năng bạn có thể trả đấy."
43,9,3,"Tình yêu của bạn sẽ tốt đẹp cả thôi, nếu bạn được ngỏ lời, thì đây có vẻ là mối quan hệ gắn bó mà hai bên hỗ trợ và cùng đem lại lợi ích cho nhau. Nếu bạn đang tìm người yêu, thì đây là thời điểm tốt hơn bình thường để tìm người đó. Trước hết bạn phải tự tin, nên hãy bước ra ngoài và hoà vào dòng người. Bạn có thể sẽ ngạc nhiên với cách mọi thứ sẽ diễn ra đó."
44,9,4,"Công việc vẫn ổn. Nếu bạn đang tìm kiếm công việc, hãy biết rằng bạn có đủ tiền bạc và kĩ năng để tìm ra nó. Nếu bạn đang có vông việc, có khả năng sẽ có biến chuyển, đừng ngần ngại đàm phán để có được những gì mà bạn xứng đáng. Bạn có thể sẽ bất ngờ bởi những gì mà bạn thu được. Nếu không có khả năng nào được tăng lương hay thăng tiến thì hãy suy nghĩ nghiêm túc về việc chuyển việc hoặc viễn cảnh tự mở ra công việc kinh doanh của riêng mình. Bạn có nhiều lựa chọn hơn bạn nghĩ."
45,9,5,"Dù bạn không có đức tin thì lúc này cũng là thời gian dành cho đời sống tinh thần. Để thật sự mạnh mẽ, bạn cần chú ý đến cả 3 yếu tố cấu thành con người chúng ta: cơ thể, tâm trí và linh hồn. Hãy chắc rằng bạn dành thời gian đủ cho cả ba. Khi mọi chuyện khó khăn thì việc này sẽ gặp nhiều trở ngại, nếu bạn nhận được lá bài này ở thời điểm bạn xuống dốc, thì hãy tin rằng mọi thứ sẽ tốt lên nhanh thôi. Lá bài này để nhắc nhở bạn rằng bạn mạnh mẽ hơn bạn nghĩ nhiều."
46,10,1,"Thói quen ổn định sẽ có ích lúc này (ví dụ như đọc sách 1 giờ mỗi tối thứ Bảy chẳng hạn). Vấn đề sức khoẻ có vẻ như xuất phát từ lối sống của bạn nhiều hơn. Ví dụ như lưng đau nhiều khi là do bạn đang “gồng gánh” quá nhiều trách nhiệm, cảm xúc, vấn đề hay những thứ tương tự vậy trên mình. Hãy chăm sóc bản thân."
47,10,2,"Đây là lúc để thận trọng với các giao dịch tài chính và quyết định, The Hermit xuất hiện thì có vẻ như tiền nong không phải ưu tiên số một với bạn lúc này. Nếu đang đầu tư, hãy đặt tiền vào các cổ phiếu/trái phiếu có tính an toàn cao. Đây không phải lúc để làm liều."
48,10,3,"Có thể chuyện tình ngày trước sẽ nhen nhóm trở lại. Bạn có thực sự muốn vậy không? Có vẻ như một mội quan hệ lãng mạn không phải là ưu tiên hàng đầu của bạn lúc này. Nếu bộ não nói rằng bạn muốn một mối quan hệ lãng mạn vào lúc này, thì hãy quan sát xem xét hành vi của mình xem có đồng nhất với sự phân tích đó không? Nếu đang có một mối quan hệ cam kết rõ ràng, thì có thể là hai người đang đi theo những hướng khác nhau. Hãy đảm bảo là bạn dành thời gian và công sức để giữ mối liên kết với mối quan hệ, từ đó giúp cho mối quan hệ phát triển."
49,10,4,Thành công và sự công nhận từ người khác đang trong tầm tay bạn. Hãy làm hết sức để mọi thứ rõ ràng và hiệu suất cao. Điều này sẽ giúp bạn dù bạn chưa nhìn rõ được nó giúp như thế nào. Hãy làm điều đúng kể cả khi không ai nhìn thấy. Hãy nhớ bạn luôn tự theo sát những gì bản thân làm!
50,10,5,"Khả năng cao là sẽ có người xuất hiện với vai trò người thầy hoặc là người dẫn dắt bạn, dù người đó sẽ không”dạy” bạn trực tiếp. Bạn sẽ học được nhiều từ người đó ở nhiều cấp độ. Hãy ưu tiên cho nhu cầu rút lui khỏi cuộc sống thường nhật trong một khoảng thời gian – chuyện này sẽ không kéo dài mãi. Bạn sẽ sớm cảm thấy mình quay lại với xã hội, tuy nhiên đừng ép bản thân phải ở cạnh nhiều người lúc này, trừ khi quá cần thiết. Tháng này bạn sẽ cảm thấy được phục hồi và tỉnh táo hơn hẳn, đặc biệt là ở khía cạnh tinh thần."
51,11,1,"Ngại thay đổi sẽ ảnh hưởng không tốt đến bạn. Hãy làm bất cứ việc gì để kiểm soát stress. Khi gặp vấn đề, hãy trở về những điều căn bản: dinh dưỡng hợp lý, nghỉ ngơi điều độ và tập thể dục thường xuyên. Thiền định và Yoga sẽ là lựa chọn hoàn hảo."
52,11,2,"Lá bài này là điềm lành cho bất kì ai đang gặp khó khăn về tài chính dạo gần đây. The Wheel of Fortune có nghĩa là hoàn cảnh của bạn đang thay đổi rõ rệt cho điều tốt hơn. Tuy nhiên, nếu bạn đang sống dư dả, hãy cân nhắc khả năng ngược lại, có thể số tiền bạn kiếm được sẽ giảm chút ít. Nếu vậy, hãy chuẩn bị cho những ngày khó khăn. Về lâu dài, tất nhiên là mọi thứ sẽ lại thay đổi."
53,11,3,"Có thể mối quan hệ hiện tại cần được “nói chuyện nghiêm túc” hoặc nó không còn đáp ứng mong muốn của bạn nữa. Điều này không có nghĩa là mối quan hệ hiện tại của bạn đã chắc chắn “từ bỏ”. Chỉ là bạn cần hành động nghiêm túc để đảm bảo mọi thứ ổn. Hãy nói về cảm xúc của bạn, mong muốn sâu kín của bạn. Nếu bạn đang tìm một mối quan hệ, trước tiên hãy cực kì rõ ràng về mẫu người mà bạn muốn, rồi ra ngoài và cho mình cơ hội – online hay để bạn bè giới thiệu với ai đó phù hợp cũng được."
54,11,4,"Khả năng cao là bạn sẽ bỏ việc nếu bạn đang đi làm, dù công việc đó tốt đi nữa vì trái tim bạn đã không còn dành cho nó. Bạn được giấc mơ thôi thúc, dù đó là gì. Nếu bạn có mong muốn làm việc gì đó khác hơn, nhưng không biết ai khác hiểu về việc bạn muốn làm – hãy dũng cảm tìm ai đó, hỏi họ có thể ăn trưa với bạn hay dành cho bạn khoảng bốn tiếng không. Bạn sẽ ngạc nhiên khi một lời nhờ vả có thể được chấp thuận thường xuyên như thế nào."
55,11,5,"Quan trọng là chúng ta phải hiểu rằng, chúng ta góp phần tác động để tạo nên những chuyện xảy đến trong đời. Hiếm khi nào có thể có chuyện mọi thứ “tự nhiên ập đến” và chúng ta chỉ là những “nạn nhân đáng thương” của hoàn cảnh. Hãy nhận phần trách nhiệm một cách công bằng, và sống tiếp. Đôi khi, đúng là mọi chuyện tự nhiên ập đến, nếu vậy, hãy nhớ, bạn chẳng bao giờ đơn độc và đi tìm sự giúp đỡ. Sự giúp đỡ bạn cần luôn sẵn ở đó."
56,12,1,
57,12,2,
58,12,3,
59,12,4,
60,12,5,
61,13,1,"Bạn có thể thay đổi triệt để góc nhìn nếu bạn cho rằng tình trạng thể chất của mình đang không ổn. Nói vậy không có nghĩa là bạn phải phớt lờ hết mọi dặn dò của bác sĩ, chỉ là hãy nghiên cứu, nghiền ngẫm nó sâu hơn. Rất có thể có những chuyện bạn nghĩ bạn biết rồi nhưng sự thật không phải vậy, nên làm cách khác thì hơn. Sức khoẻ sẽ tốt lên, nhưng đó là cả một quá trình."
62,13,2,"Nếu bạn đang túng thiếu, thì đến lúc học cách cho đi, phải, hãy cho đi để mở rộng dòng chảy, dù tất cả những gì bạn có chỉ là một mẩu bánh mì. Hãy hiểu rằng luôn có ai đó ở cạnh sẵn sàng chìa tay ra sẻ chia với bạn mẩu bánh mì hiếm hoi đó. Những việc đơn giản như thế này có thể xoay chuyển bánh xe và mang sự thịnh vượng của bạn sang một giai đoạn tốt hơn."
63,13,3,"Một lần nữa, phông nền chủ đạo là “buông bỏ”. Ví dụ, buông bỏ người mà bạn không chạm tới được có thể sẽ tạo cơ hội cho người phù hợp xuất hiện với bạn. Nhưng đó chỉ là một ví dụ. Rất có thể bạn cần buông bỏ cách nhìn nhận đối với một mối quan hệ mà bạn cho rằng “mình chẳng thể hạnh phúc nếu thiếu anh ấy/cô ấy. Nếu bạn đang có mối quan hệ lâu năm, có thể hai bạn đang ở ngã ba đường. Nếu bạn cảm nhận mọi thứ vẫn tuyệt hảo thì nên tìm hiểu xem đối tác của bạn có cảm nhận giống vậy không."
64,13,4,"Chẳng có gì đặc biệt, và bạn đang chán ngấy. Nếu vậy, cần xem xem bạn có thể làm gì để thay đổi không. Nếu không, đừng tự đổ lỗi cho bản thân chuyện mọi thứ cứ ì ạch. Mọi thứ sẽ thay đổi. Chỉ là chưa phải theo dự tính mà bạn muốn thôi. Thư thả đi, còn không, hãy tìm công việc khác."
65,13,5,"Việc quan trọng là buông bỏ những suy nghĩ tiêu cực, niềm tin hạn chế bản thân. Bạn vẫn nhớ nguyên lý của việc “tự kỉ ám thị” chứ, nên hãy cẩn thận với những gì bạn cho phép bản thân nói và nghĩ về cuộc đời. Hãy chắc rằng những “ám thị” bạn đưa ra chí ít tương đồng với những gì bạn muốn."
66,14,1,"Kiểm soát stress là cách để đảm bảo sức khoẻ trong giai đoạn này. Tím cách giải quyết mọi vấn đề thể chất, đừng né tránh. Nghỉ ngơi đầy đủ, đừng đầu độc bản thân với với bia rượu và những thứ tương tự.  Nếu cần hồi phục, hãy chú ý cả phương diện thể chất và tinh thần. Đặc biệt nếu bạn còn độc thân, lúc này, hãy tìm cảm giác “được chạm” (sờ mó), mát xa, cái ôm từ những người bạn thân. Những điều này sẽ giúp bạn rất nhiều."
67,14,2,"Bạn có thể sẽ phải hy sinh đôi chút để đối mặt với khó khăn tài chính sắp tới. Bạn có thể làm được. Đừng ngần ngại nhờ giúp đỡ nếu cần thiết. Bạn không cần phải mắc kẹt và chịu đựng một mình, mọi chuyện cũng không cần đi theo hướng đó, mặc dù khả năng cao là bạn sẽ phải chịu mất mát về tài chính vì mất việc, cổ phiếu mất giá, v.v. Thì cũng đừng trốn tránh thực tại, nếu chuyện này tới. Xác định chính xác bạn đang phải đối mặt với cái gì , đối mặt với nó, rồi làm những thứ cần làm thôi. Cuối cùng, bạn sẽ thu lại nhiều hơn nhờ bài học này. Đường dài bạn sẽ ổn thôi."
68,14,3,"Nếu bạn đang bám lấy một mối quan hệ mà bạn chẳng vui vẻ gì, chỉ vì bạn không muốn đánh mất cảm giác đã quen thuộc, hay bởi vì bạn ghét phải một mình, thì nghĩa là bạn đang chẳng giúp gì cho mình hay người kia cả. Hãy nói chuyện thẳng thắn, nếu đối phương không muốn cũng không thể thay đổi hoặc bạn như vậy, thì có lẽ là đến lúc bỏ nó đi rồi. Nếu bạn đủ can đảm để rời bỏ vòng an toàn của mối quan hệ này, bạn sẽ tìm được một mối quan hệ khác tốt hơn nhiều. Nhưng trước hết, bạn phải đối mặt với vấn đề đã, và cố gắng giải quyết nó. Không phải mọi mối quan hệ đều có thể “sửa” được. Đừng đâm đầu vào tường quá lâu. Bạn sẽ cảm nhận được khi nào là “đủ”."
